,decision_ID,date,holder_ID,LOC,euipo_ind_holder,euipo_ind_TM_opp,euipo_ind_TM_app,boip_ind_holder,boip_ind_TM_opp,boip_ind_TM_app
0,2813874,17-01-2018,716400,+,Err,Err,Err,Err,Err,Err
1,2539453,09-03-2017,,+,Err,Err,Err,Err,Err,Err
2,2728957,31-05-2017,37079,+,Err,Err,Err,Err,Err,Err
3,3089467,27-08-2021,488980,-,Err,Err,Err,Err,Err,Err
4,2529363,03-11-2016,630087,+,886,,,,,1
5,2535972,16-09-2016,700702,+,,Err,Err,2,Err,Err
6,3123748,21-12-2021,129758,+,2,2,,,,2
7,3054590,10-04-2019,475942,+,2,2,1,,,
8,2659913,06-04-2017,190085,-,Err,Err,Err,Err,Err,Err
9,2714494,22-02-2018,22808,-,Err,Err,Err,Err,Err,Err
10,3052070,28-05-2019,430886,+ -,2,2,1,,,1
11,3135389,25-03-2022,37554,+,,,1,,,1
12,2846924,19-12-2017,106203,+,Err,Err,Err,Err,Err,Err
13,3081662,26-05-2020,714137,-,Err,Err,Err,Err,Err,Err
14,3120755,08-07-2021,117379,+ -,3,3,1,2,2,
15,3131811,05-10-2021,1017371,+,78,,1,,,
16,3095237,28-10-2021,664701,+,2,2,1,,,1
17,3057139,28-11-2019,162605,+,2,2,1,,,
18,3089655,27-07-2020,98689,+,,,20,,2,
19,3085645,24-05-2022,999713,+,,,1,Err,,1
20,2647959,20-03-2017,639712,+,2,2,1,,,1
21,2749060,31-05-2018,112477,+,212,,1,,,1
22,2637034,23-08-2017,40306,+,2,2,1,,,1
23,3083148,06-05-2020,792186,+ -,2,2,1,,,1
24,2774605,29-11-2017,168421,+,Err,Err,Err,Err,Err,Err
25,2424896,06-12-2016,171173,+ -,2,2,1,,,1
26,3081265,27-04-2020,178018,+,Err,Err,Err,Err,Err,Err
27,3056742,29-10-2019,344212,-,,,1,,,1
28,2839739,17-01-2020,34416,+,2,2,1,,,1
29,3050642,08-04-2019,788947,-,2,2,1,,,1
30,2776741,31-01-2018,468074,-,Err,Err,Err,Err,Err,Err
31,2693540,08-03-2017,93826,+ -,Err,Err,Err,Err,Err,Err
32,2558529,13-09-2016,143263,+ -,,,1,Err,Err,Err
33,2577784,08-08-2016,421530,+,,,,Err,,1
34,3086248,11-10-2021,64256,-,Err,Err,Err,Err,Err,Err
35,3084511,30-06-2020,358552,+,3,2,1,Err,Err,Err
36,3086677,03-04-2020,814529,+,2,2,1,,,
37,3075240,13-11-2019,982745,+ -,,1,,Err,1,
38,3125752,03-09-2021,1100645,+,,,1,,,1
39,3124142,09-08-2021,833111,+ -,2,2,1,,,1
40,3091992,22-10-2020,657477,-,2,2,1,,,1
41,3086807,16-10-2020,870304,+ -,2,2,1,,,1
42,2653189,13-04-2017,196097,+,Err,Err,Err,Err,Err,Err
43,2863374,20-03-2018,818119,-,Err,Err,Err,Err,Err,Err
44,3008235,31-10-2018,13674,+,2,2,1,,,1
45,3079802,12-03-2020,487519,+ -,Err,Err,Err,Err,Err,Err
46,2931700,06-09-2018,846048,+,,,1,Err,,1
47,3063741,27-11-2019,517676,-,1,1,7,,,1
48,3131640,17-02-2022,957035,-,2,2,1,,,1
49,3109362,28-01-2021,264329,+ -,2,2,1,,,1
50,3135483,22-02-2022,814529,-,Err,Err,Err,Err,Err,Err
51,3130511,07-02-2022,94857,+,2,2,1,,,1
52,2816968,17-10-2017,124463,+,Err,Err,Err,Err,Err,Err
53,3033464,27-03-2019,886360,-,,,1,Err,,1
54,3110202,28-04-2021,913619,+,2,2,1,14,14,1
55,2672361,24-05-2017,101305,+ -,Err,Err,Err,Err,Err,Err
56,2738147,20-07-2017,6002,+ -,Err,Err,Err,Err,Err,Err
57,2589896,12-09-2017,183696,+ -,2,2,1,,,1
58,2895053,17-09-2018,655566,+,117,,1,,,1
59,1920571,09-11-2017,167825,+,Err,Err,Err,Err,Err,Err
60,3135164,07-04-2022,738949,+,2,2,1,,,1
61,3075137,16-03-2020,330493,-,2,2,1,,,
62,2495516,04-06-2018,174817,+,2,2,1,19,,
63,2611930,13-06-2017,635454,-,2,2,1,,,1
64,2568056,29-11-2016,712891,+,,,1,,,1
65,3082971,26-03-2020,620427,+,,,,,,
66,2646324,13-12-2018,54938,+ -,Err,Err,Err,Err,Err,Err
67,3080763,20-03-2020,999993,+,Err,Err,Err,Err,Err,Err
68,3076144,26-11-2019,928845,+,2,2,1,,,1
69,3091904,14-09-2020,755955,+,,,39,Err,,
70,2795345,29-08-2017,435055,+,2,2,1,,,
71,2962101,30-10-2018,590389,+ -,2,2,1,,,
72,3048601,26-02-2019,791158,+,2,2,1,,,
73,3047222,05-02-2019,159893,+ -,2,2,1,,,1
74,3109669,29-04-2021,711962,-,,2,1,,31,1
75,3118844,25-05-2021,748117,+ -,Err,Err,Err,Err,Err,Err
76,2518697,17-10-2016,41887,+ -,12,,1,,,1
77,2782210,12-12-2017,185834,+ -,Err,Err,Err,Err,Err,Err
78,2107699,20-06-2016,144245,-,Err,Err,Err,Err,Err,Err
79,2789595,06-12-2017,690333,+ -,Err,Err,Err,Err,Err,Err
80,2119363,03-10-2016,544281,-,,,1,Err,,1
81,2894593,03-09-2018,778580,+ -,2,2,1,,,1
82,3108961,12-04-2021,20450,+,,,1,,,1
83,2741000,30-01-2018,383260,-,Err,Err,Err,Err,Err,Err
84,3063569,20-01-2020,178018,+,Err,Err,Err,Err,Err,Err
85,2823899,16-11-2017,143849,+,Err,Err,Err,Err,Err,Err
86,2671199,21-11-2017,663504,+ -,Err,Err,Err,Err,Err,Err
87,2858879,28-01-2020,791544,+,Err,Err,Err,Err,Err,Err
88,2998402,01-10-2018,80132,+ -,2,2,1,,,1
89,3033837,20-02-2019,806072,+,3,3,1,,,
90,3082485,27-07-2020,642058,+,2,2,1,,,
91,2692823,22-06-2017,711016,-,Err,Err,Err,Err,Err,Err
92,3054603,22-08-2019,542918,-,2,2,1,,,1
93,3041327,17-07-2019,756643,-,3,3,1,,,1
94,3109947,20-04-2021,444000,-,,,1,,,1
95,3093070,21-09-2020,132989,+,17,2,1,,,1
96,2485384,30-06-2016,520735,+ -,,,1,Err,,1
97,3084188,25-02-2020,380209,+,,2,1,,,1
98,3118095,01-10-2021,523274,+ -,2,2,1,,,
99,3079564,06-04-2020,271175,-,Err,Err,Err,Err,Err,Err
100,2677139,26-01-2017,232373,+,,,1,Err,,
101,3054185,14-05-2020,422199,+ -,,,1,,,1
102,3082355,20-05-2022,494289,-,2,2,1,,,1
103,3064787,22-06-2020,376949,+ -,2,2,1,,,
104,2803602,13-12-2017,410563,+,Err,Err,Err,Err,Err,Err
105,2479403,26-01-2018,539185,+ -,Err,Err,Err,Err,Err,Err
106,3077083,18-05-2022,987627,+,,,1,Err,,1
107,3055055,29-04-2019,932996,+,,,1,Err,,1
108,3077019,28-02-2020,977841,-,,,1,Err,,1
109,2597063,30-11-2016,517104,+,,2,1,Err,,1
110,3127436,03-09-2021,694689,+ -,2,2,1,,,1
111,3072364,30-10-2020,223808,+,2,2,1,,,1
112,3114431,21-12-2020,296012,+,2,2,1,,,
113,2591520,05-08-2016,189885,+,2,2,1,,,
114,2830282,17-04-2018,458507,+,Err,Err,Err,Err,Err,Err
115,3131148,30-08-2021,779608,+,2,2,1,,,1
116,3136898,26-11-2021,966857,+,2,2,1,,,1
117,3051954,24-05-2019,227135,+ -,,,,,,1
118,2996935,13-09-2018,856244,+,,,1,36,,1
119,3106954,18-10-2021,1000667,-,2,2,1,4,4,1
120,3130081,25-11-2021,42451,+ -,Err,Err,Err,Err,Err,Err
121,3071599,06-02-2020,32839,-,242,,3,,,
122,2509654,20-06-2016,281524,+,2,2,1,,,1
123,3147875,31-05-2022,788947,+ -,2,2,1,,,1
124,2622218,22-11-2016,408627,+,,,1,,,1
125,2641960,31-07-2017,627387,+,,,1,,,1
126,3079366,29-01-2020,994673,+,917,,1,,,1
127,3095374,27-08-2020,417110,+,1,3,4,,,
128,2949686,26-07-2019,42649,+ -,2,2,1,,,
129,3052215,14-03-2019,110,-,2,2,1,,,1
130,3066450,24-01-2020,957631,+,Err,Err,Err,Err,Err,Err
131,3131853,27-08-2021,967772,+ -,240,,1,,,1
132,2517509,24-05-2016,598335,+,,,1,Err,,1
133,2057688,29-09-2017,483692,-,Err,Err,Err,Err,Err,Err
134,2211129,10-08-2017,196609,+,2,2,1,,,
135,2979774,19-09-2018,98631,+ -,2,2,1,,,1
136,3037309,26-02-2019,258835,+,,,1,,,1
137,3131351,19-01-2022,264121,+,5,5,1,,,1
138,2619198,28-10-2016,372391,+,2,2,1,Err,Err,Err
139,3080010,14-04-2020,558914,+,,,1,Err,,
140,3050833,19-06-2019,761425,-,,2,1,Err,3,1
141,2503558,02-06-2016,473820,+,,,1,Err,,
142,2833633,26-04-2018,572379,+,Err,Err,Err,Err,Err,Err
143,3051530,02-02-2021,738380,+,,,1,,,
144,2725250,02-06-2017,114787,+,,,1,,,1
145,3068760,05-11-2019,413847,+,2,1,,,1,
146,2896838,29-07-2019,811224,+,2,2,3,,,1
147,2458514,22-02-2017,341828,+,2,2,1,13,13,1
148,3068121,02-08-2019,500903,+ -,2,2,1,,,1
149,3049199,27-02-2019,644853,+,2,2,1,,2,
150,2968868,08-10-2018,636532,-,,,,,,
151,2791831,29-10-2018,335184,+,2,,1,,,2
152,3102726,30-09-2020,1044851,+,,1,,Err,,
153,3143734,24-03-2022,1189107,+,,,1,Err,,1
154,2609736,14-10-2016,180779,+,2,2,1,,,1
155,2624057,16-12-2016,21695,-,7,2,1,,,1
156,3051445,31-05-2021,274681,-,12,,1,,,1
157,2582784,16-03-2018,735211,+,Err,Err,Err,Err,Err,Err
158,3045500,11-03-2019,204063,-,2,2,1,,,1
159,3131864,11-01-2022,540100,-,2,2,1,,,1
160,1623399,31-10-2018,366853,+,Err,Err,Err,Err,Err,Err
161,3047699,09-07-2019,304955,+,2,2,1,,,
162,2221359,06-02-2018,,+,Err,Err,Err,Err,Err,Err
163,2618323,28-02-2017,315092,+,2,2,1,,,1
164,3083909,22-10-2020,10540,+ -,2,2,1,,,
165,2431032,10-05-2016,609691,-,2,2,1,,,1
166,2626573,25-10-2016,368843,+ -,2,2,1,,,1
167,2229733,30-11-2016,7308,+,2,8,1,,,
168,2577396,13-04-2017,181937,-,Err,Err,Err,Err,Err,Err
169,3104046,24-09-2020,232540,+ -,3,3,1,,,
170,3124480,15-06-2021,839,+ -,Err,Err,Err,Err,Err,Err
171,3064765,18-05-2021,22442,+,Err,Err,Err,Err,Err,Err
172,3052717,13-05-2021,432989,+,Err,Err,Err,Err,Err,Err
173,2601949,20-09-2016,448764,+,2,2,1,,,1
174,2537978,16-01-2017,199250,+,2,2,1,,,1
175,3068799,27-01-2020,282116,+,1,1,,,,1
176,3132651,14-01-2022,537358,+,1,1,,15,15,1
177,3126440,22-09-2021,481928,-,Err,Err,Err,Err,Err,Err
178,3078923,28-02-2020,1239581,+ -,3,3,1,,,1
179,3101747,12-05-2022,1026709,+,,,1,Err,,1
180,3054357,18-07-2019,710699,+,,,1,Err,,
181,2594136,17-11-2016,406575,+,,2,1,Err,,1
182,3049495,09-04-2019,918011,+ -,,,1,Err,,1
183,3127718,26-07-2021,1111894,+,,,1,Err,,1
184,3120835,11-04-2022,592855,+ -,2,2,1,3,3,1
185,2739749,27-10-2017,517535,+,Err,Err,Err,Err,Err,Err
186,3113579,11-10-2021,203776,-,,,1,,,1
187,2824475,03-04-2018,126710,+,856,,1,,,
188,3134050,07-12-2021,500844,+,Err,Err,Err,Err,Err,Err
189,3109943,16-04-2021,46215,-,1,1,4,Err,Err,Err
190,2979378,18-01-2019,557747,+,,,1,,,1
191,2610684,17-03-2017,345309,+,Err,Err,Err,Err,Err,Err
192,2627928,10-11-2016,115269,+ -,2,2,1,,,1
193,2800715,23-11-2020,356180,+,41,,1,,,1
194,2746652,16-08-2017,647346,-,,2,1,,,
195,3125544,16-06-2021,918293,+ -,2,2,1,,,
196,2764689,26-06-2017,636043,+,Err,Err,Err,Err,Err,Err
197,3090256,18-06-2020,755449,+ -,2,2,1,,,
198,2232984,02-05-2016,38512,-,Err,Err,Err,Err,Err,Err
199,3069898,29-07-2020,320168,+,2,2,1,,,
200,2671066,27-04-2018,748385,+ -,Err,Err,Err,Err,Err,Err
201,3016501,13-02-2019,567980,+,Err,Err,Err,Err,Err,Err
202,2816315,10-08-2018,781531,+ -,2,2,1,5,,
203,3139996,25-04-2022,475648,+,2,2,1,1,1,
204,3025650,04-02-2019,882836,-,,,,Err,,
205,2553678,21-12-2016,196097,+,,2,1,Err,,
206,3140115,08-02-2022,63592,-,409,,1,,,1
207,2775057,01-12-2017,4631,+ -,Err,Err,Err,Err,Err,Err
208,3123914,27-07-2021,138827,+ -,2,2,1,,,1
209,2808866,26-01-2018,555146,+,Err,Err,Err,Err,Err,Err
210,3090466,15-10-2020,76176,+,2,2,1,34,,1
211,2838483,09-02-2018,93317,+ -,Err,Err,Err,Err,Err,Err
212,2657370,19-05-2017,370682,+ -,2,4,1,,,
213,2862731,02-05-2018,192349,+,Err,Err,Err,Err,Err,Err
214,3006593,23-07-2019,2624,+,1,1,4,,,1
215,2867672,16-03-2018,200454,+,Err,Err,Err,Err,Err,Err
216,3116477,25-08-2021,1081099,+,Err,Err,Err,Err,Err,Err
217,2491168,04-07-2016,683421,+,,,1,Err,,1
218,2406224,22-09-2017,171878,+,39,2,1,,4,
219,2720863,25-04-2017,36979,+,2,2,1,,,1
220,2877242,28-05-2019,454260,+ -,2,2,1,,,1
221,2777525,25-10-2017,207792,-,Err,Err,Err,Err,Err,Err
222,2614496,28-04-2017,195920,+,3,3,1,,,1
223,3074734,07-02-2020,713612,+,2,2,1,,17,1
224,2691759,17-05-2018,757594,-,523,,1,,,1
225,3076182,22-01-2020,473249,-,Err,Err,Err,Err,Err,Err
226,2569716,23-03-2017,441271,+ -,1,1,,1,1,
227,2836826,21-12-2017,348354,+,Err,Err,Err,Err,Err,Err
228,3066982,22-02-2020,42451,+,2,2,1,,,1
229,3144407,30-03-2022,259325,-,2,2,1,,,1
230,3069135,30-01-2020,924362,+ -,Err,Err,Err,Err,Err,Err
231,3070936,17-12-2019,810470,-,2,2,1,12,,1
232,2630708,30-11-2016,814529,+ -,Err,Err,Err,Err,Err,Err
233,3112813,27-04-2021,1070192,+,,,,Err,,1
234,2705104,24-03-2020,315651,-,Err,Err,Err,Err,Err,Err
235,3073888,14-06-2021,798785,-,2,2,1,,,1
236,3061501,30-03-2022,142442,+,,,,,,6
237,3137939,04-05-2022,719344,-,Err,Err,Err,Err,Err,Err
238,3089849,28-04-2021,1021506,+ -,,,1,Err,,1
239,3112294,15-01-2021,466505,-,3,,,,,1
240,3076359,12-02-2020,153899,+,2,2,1,,,1
241,2857277,22-02-2018,79119,+,Err,Err,Err,Err,Err,Err
242,2738923,23-08-2017,9390,-,,,1,,,1
243,3045633,13-02-2019,229340,+ -,2,2,1,,,1
244,2451451,21-04-2016,133231,-,419,,1,,,1
245,3141465,11-02-2022,161834,+,2,2,1,,,1
246,2582925,29-01-2020,656560,+,2,2,1,,,1
247,3060317,25-07-2019,344905,+,2,2,1,,,
248,3112142,22-07-2021,72561,+ -,2,2,,,,
249,3072374,05-08-2020,303820,+,2,2,1,,,1
250,2904871,18-05-2018,188796,+ -,Err,Err,Err,Err,Err,Err
251,2620832,16-08-2017,115431,+ -,1,1,,,,1
252,2608027,30-11-2016,613753,+ -,Err,Err,Err,Err,Err,Err
253,3065834,17-10-2019,679693,+ -,2,2,1,,,1
254,3053008,30-08-2019,928693,+,,1,,Err,39,1
255,3107586,08-12-2020,835740,+,,2,1,,,
256,2707522,31-03-2017,624097,+,Err,Err,Err,Err,Err,Err
257,3109807,21-12-2020,372402,+,2,2,1,,,1
258,3115246,29-03-2021,253651,+,858,,1,,,
259,3066382,06-09-2019,810903,+,2,1,,,1,
260,2767823,19-01-2018,572055,-,2,2,1,16,,1
261,3118668,29-06-2021,308121,+,,,1,,,1
262,2670233,24-04-2017,161707,+,2,2,1,,,1
263,3066658,24-10-2019,272523,-,2,2,1,,,1
264,2990656,08-11-2021,868360,+,,,1,Err,,1
265,2965492,16-09-2020,373509,+ -,,2,1,,,
266,2784398,16-10-2018,523772,+,Err,Err,Err,Err,Err,Err
267,3137216,09-02-2022,802320,+,3,3,1,36,36,1
268,2814278,01-03-2018,614516,+,2,2,1,,,1
269,2785676,22-11-2017,640787,-,Err,Err,Err,Err,Err,Err
270,2588880,03-03-2017,648568,-,2,2,1,11,11,2
271,3064871,16-10-2019,62940,-,Err,Err,Err,Err,Err,Err
272,3130774,22-03-2022,1122519,-,,,,Err,,1
273,3025122,07-12-2018,430200,-,,2,1,Err,,1
274,2887142,29-03-2018,58073,+,2,2,1,,,1
275,3118581,24-08-2021,613084,-,,,1,,,1
276,3089413,17-12-2020,108853,+,,,,,,1
277,2917048,09-07-2018,745833,+ -,2,,1,,,
278,2879180,09-02-2018,166808,+,Err,Err,Err,Err,Err,Err
279,2497108,19-02-2018,43109,+,Err,Err,Err,Err,Err,Err
280,3047909,30-05-2019,911929,+,,,1,Err,,
281,3084569,19-02-2020,1007816,+,,,,Err,,
282,3029843,06-02-2019,319031,+,2,2,1,,,
283,2608084,30-11-2016,613753,-,Err,Err,Err,Err,Err,Err
284,2973215,26-07-2018,36979,+,2,2,1,,,1
285,3050082,22-08-2019,689349,+,650,,1,49,,
286,3111271,09-03-2021,1204,+,709,,1,,,1
287,2452848,03-05-2017,145980,-,2,2,1,,,1
288,3069865,24-08-2020,732950,+,,,6,,,1
289,3014555,13-08-2019,195372,-,2,2,1,,,1
290,3029983,09-11-2018,884906,+ -,,,243,,,
291,3047460,12-04-2019,681816,+,2,2,1,,,
292,3063556,21-02-2020,127823,-,2,2,1,,,1
293,2530742,14-08-2018,699317,+ -,,,1,Err,,1
294,3123163,25-05-2021,728529,-,2,2,1,,,1
295,2943697,30-10-2019,162209,-,Err,Err,Err,Err,Err,Err
296,3097991,23-04-2021,580643,+ -,907,,1,,,
297,2921461,06-07-2018,81541,-,4,4,1,,,1
298,3118956,21-12-2021,196929,+,3,3,1,,,1
299,3149412,27-04-2022,737248,+,3,3,1,6,,
300,2880139,09-01-2019,346431,+,,,39,,,
301,3006544,29-11-2018,520455,+ -,3,3,1,6,6,1
302,3065343,28-11-2019,696123,-,,2,1,,,1
303,3121507,14-07-2021,252540,+,2,2,1,,,1
304,2410903,14-06-2016,219216,-,9,9,1,21,21,1
305,2518622,28-09-2016,272544,+,Err,Err,Err,Err,Err,Err
306,2514688,22-08-2016,645220,+,,2,1,Err,,1
307,2647439,29-06-2017,45349,+,2,,1,41,,
308,3115847,25-06-2021,136792,-,793,,1,,,
309,3068953,10-09-2021,660067,+,2,3,1,,,1
310,3029223,30-01-2019,171173,+,2,3,1,,8,1
311,3072223,15-04-2020,613879,+,,,,,,1
312,2559832,28-10-2016,674698,-,Err,Err,Err,Err,Err,Err
313,3137931,07-02-2022,35956,+,2,2,1,,8,
314,3052409,24-05-2019,926546,+,Err,Err,Err,Err,Err,Err
315,3117287,29-09-2021,936068,+,2,2,1,,,
316,3098516,08-12-2021,694246,-,Err,Err,Err,Err,Err,Err
317,3101587,18-08-2020,79004,-,,,1,Err,Err,Err
318,2448051,29-03-2019,587742,+,30,,1,,,1
319,R,07-12-2018,,,Err,Err,Err,Err,Err,Err
320,3052853,17-07-2019,476323,-,2,2,1,,,1
321,2946674,23-07-2019,76221,-,2,2,1,,,1
322,3084085,22-07-2020,673394,-,1,1,,,,1
323,3048810,04-12-2018,7289,-,3,3,1,,,1
324,3049212,29-06-2020,532691,+,,,1,,,1
325,3072365,10-02-2020,780627,-,2,2,1,,,1
326,2660267,31-03-2017,10944,+,2,2,1,,,1
327,2346388,23-05-2016,611248,+ -,2,2,1,,,1
328,3133176,19-01-2022,46215,-,Err,Err,Err,Err,Err,Err
329,2532987,09-03-2018,501432,+,Err,Err,Err,Err,Err,Err
330,2518028,21-02-2018,176677,+ -,Err,Err,Err,Err,Err,Err
331,2941246,03-09-2018,519614,-,2,2,1,,,1
332,2607946,25-04-2017,475855,+ -,2,2,1,,,1
333,2461344,17-12-2015,455657,+,3,,,,,1
334,2827742,26-09-2018,9909,-,4,,1,,,1
335,2939885,09-07-2018,784050,-,308,,1,,,1
336,3081567,08-06-2020,911706,+,,,1,,,
337,2642760,12-12-2018,167825,+,Err,Err,Err,Err,Err,Err
338,2468828,21-04-2016,413470,-,,,1,Err,,1
339,2208356,11-12-2017,74530,+,1,1,,,,
340,2983511,21-08-2018,171173,+,,,1,,,1
341,2897208,09-07-2018,4289,+,1,1,,,,
342,2685983,19-12-2019,220090,+,2,2,1,,,
343,3097166,17-11-2020,1031317,+,789,,,,,
344,2326026,06-09-2017,420711,+ -,,2,1,,,
345,2725961,25-10-2018,80202,+,2,2,1,,,
346,2984121,28-01-2019,636991,+ -,Err,Err,Err,Err,Err,Err
347,3100229,27-04-2022,550001,-,,,1,,,1
348,2711219,22-11-2017,716575,+ -,Err,Err,Err,Err,Err,Err
349,3058181,04-07-2019,784188,-,,,,,,2
350,2775024,27-10-2017,349967,+ -,Err,Err,Err,Err,Err,Err
351,3146620,13-05-2022,61741,+,Err,Err,Err,Err,Err,Err
352,2580374,29-09-2016,716609,-,,,1,Err,,1
353,2240193,31-05-2016,161594,-,2,2,1,,,1
354,3111422,17-02-2021,343345,+ -,,,56,Err,,2
355,3056710,20-08-2019,270867,+,174,2,1,,,1
356,2614868,16-01-2017,728912,+,Err,Err,Err,Err,Err,Err
357,2738634,04-04-2018,680324,+,Err,Err,Err,Err,Err,Err
358,2819921,24-10-2019,136369,-,6,3,1,,,1
359,2585332,30-11-2016,531069,+,Err,Err,Err,Err,Err,Err
360,3142084,05-05-2022,1177301,+,,,1,Err,,1
361,2724501,17-05-2017,546343,+ -,727,2,1,,,1
362,2844846,29-06-2020,5318,+,2,2,1,4,15,1
363,2470709,08-07-2016,273020,+ -,2,2,1,,,1
364,3051444,07-05-2021,22442,-,,,1,,,2
365,2761818,05-09-2017,649154,+,2,2,1,,,1
366,3004309,28-08-2019,171173,+,37,,1,,,1
367,3073150,26-02-2020,409860,+,Err,Err,Err,Err,Err,Err
368,2808965,05-12-2017,796988,+,Err,Err,Err,Err,Err,Err
369,3110032,20-08-2021,22442,+,2,2,1,,,
370,3102250,08-10-2020,1043651,-,,,1,Err,,1
371,3144917,25-05-2022,1193489,+ -,6,,1,Err,,1
372,3058842,16-10-2019,219065,-,2,2,1,,,1
373,3087983,08-09-2020,251748,+,2,2,1,,6,1
374,3135772,28-01-2022,220649,+,,,1,,,
375,2590860,17-02-2017,698021,+,2,2,1,,,1
376,3051757,24-09-2019,855667,-,Err,Err,Err,Err,Err,Err
377,3140624,16-02-2022,995650,-,,,1,,,1
378,3106300,18-01-2021,466249,+ -,Err,Err,Err,Err,Err,Err
379,2532649,15-03-2018,382958,-,Err,Err,Err,Err,Err,Err
380,3056660,27-07-2019,541937,-,2,2,1,,,1
381,2545146,10-08-2016,372402,+,2,2,1,Err,,
382,2658170,20-03-2017,129507,+,1,1,6,1,1,
383,3127880,17-09-2021,992470,+ -,2,2,1,,,1
384,3121925,31-05-2021,1059641,-,2,2,1,,,1
385,2722869,01-08-2017,159667,-,2,2,1,,,1
386,3100034,14-12-2020,242103,+,,2,1,,,
387,3066470,13-12-2019,807924,+,2,2,1,,,1
388,2579277,09-09-2016,312501,-,2,2,1,,,1
389,2624867,30-11-2016,22442,+ -,2,2,1,,,1
390,3114386,08-04-2021,945042,+,2,2,3,,,
391,2334251,25-01-2017,35737,+,,,1,Err,,1
392,3124863,06-08-2021,149613,+,2,3,1,,,1
393,3107030,28-05-2021,735211,-,2,2,1,,,5
394,2938523,02-07-2018,37483,-,2,2,1,,,1
395,3080050,16-02-2021,997573,-,Err,Err,Err,Err,Err,Err
396,2948787,11-06-2018,852718,-,,,1,Err,,1
397,2575234,28-06-2016,432710,+,,,1,Err,,1
398,2889346,28-06-2018,167825,+,2,2,1,,,
399,3066610,27-01-2020,878736,+,3,,2,,,1
400,2633983,09-02-2018,80504,+,Err,Err,Err,Err,Err,Err
401,2703968,10-08-2017,21507,+ -,2,2,7,,,2
402,2583816,27-10-2016,660117,+ -,,,,,,1
403,2164252,16-08-2019,181937,+,Err,Err,Err,Err,Err,Err
404,2483637,12-08-2016,680921,-,,,1,Err,,1
405,3134874,04-03-2022,1141815,+,,,1,Err,,1
406,3032763,27-11-2019,109986,+,2,2,1,18,18,
407,3062283,28-08-2019,609003,+,2,2,1,38,38,
408,3125935,30-07-2021,845277,+,2,2,1,,,
409,3130836,23-02-2022,939029,+,1,10,6,5,5,1
410,3134208,22-10-2021,3110,+,Err,Err,Err,Err,Err,Err
411,2589110,18-11-2016,229134,+,,,1,,,1
412,2779943,27-10-2017,518869,+,Err,Err,Err,Err,Err,Err
413,2911611,28-05-2018,594849,+,2,2,1,,,1
414,3071978,16-11-2020,809528,+ -,242,,1,,,
415,3126703,17-09-2021,907265,+ -,2,2,1,,,
416,3095897,07-05-2021,369666,+ -,,2,1,Err,Err,Err
417,3086298,28-10-2020,186080,+ -,Err,Err,Err,Err,Err,Err
418,2463456,03-11-2017,167825,+,Err,Err,Err,Err,Err,Err
419,2759796,24-08-2017,157909,-,2,2,1,,,1
420,2848029,20-07-2018,663111,+,Err,Err,Err,Err,Err,Err
421,3086552,27-11-2020,849846,-,2,2,1,,,
422,2583964,07-05-2018,718160,+,,,1,Err,,1
423,2485251,21-02-2019,639408,-,,,1,Err,,1
424,2390725,17-07-2017,287354,+ -,,,1,Err,,1
425,2721614,27-06-2017,306950,+,,2,1,Err,,
426,3080073,19-02-2021,410926,-,2,2,1,4,4,1
427,2864372,31-01-2020,559937,+,2,2,1,,,1
428,3063574,25-07-2019,949584,+,,,1,,,1
429,em-wo-1371153,06-03-2019,,-,Err,Err,Err,Err,Err,Err
430,2706094,27-11-2017,587494,-,Err,Err,Err,Err,Err,Err
431,2948902,20-08-2018,22442,+ -,1,1,,,,1
432,2037607,01-06-2017,488320,+,,5,,Err,8,
433,2846379,28-01-2022,800592,+,3,3,1,6,6,1
434,2469594,11-10-2018,16992,+,,,1,,,1
435,3048142,12-03-2019,44757,+ -,,,1,,,1
436,3075197,11-05-2020,5572,-,1,1,,,,
437,2475336,27-03-2020,673934,+,Err,Err,Err,Err,Err,Err
438,2826777,04-07-2018,530901,+ -,,1,,,,1
439,3065788,29-01-2020,278610,+,2,2,1,1,,
440,3066153,13-10-2019,151752,+,2,2,1,,,1
441,2713231,11-12-2017,198632,+,Err,Err,Err,Err,Err,Err
442,2524588,22-12-2016,194789,+ -,2,2,1,,,1
443,3098496,22-04-2021,1031894,+,3,,1,,,
444,2880386,19-03-2018,621440,+,Err,Err,Err,Err,Err,Err
445,3056283,28-07-2019,935166,-,Err,Err,Err,Err,Err,Err
446,3068624,28-11-2019,94117,-,,,1,Err,,1
447,2552621,21-09-2017,148992,-,260,260,322,,,
448,2849571,20-12-2017,696066,+ -,Err,Err,Err,Err,Err,Err
449,2789900,21-11-2017,417168,+,Err,Err,Err,Err,Err,Err
450,2738469,10-07-2017,234906,+ -,3,3,1,,,1
451,2727819,19-06-2017,18058,-,390,,,9,,1
452,3095868,21-10-2020,175533,+,2,2,1,,,1
453,2520446,23-03-2016,28289,+,Err,Err,Err,Err,Err,Err
454,3081463,13-08-2020,93724,+,2,2,1,,,
455,3125785,13-09-2021,230178,+,2,2,1,,,
456,2920976,22-08-2018,40306,+,2,2,1,,,1
457,3052547,22-03-2019,617576,+,,,528,,,1
458,3103888,13-05-2021,1048179,+,,,,Err,,1
459,2955501,16-05-2019,3582,+ -,,,,,,1
460,2545971,13-04-2016,143940,+,2,2,1,,,
