,decision_ID,date,holder_ID,LOC,euipo_ind_holder,euipo_ind_TM_opp,euipo_ind_TM_app,boip_ind_holder,boip_ind_TM_opp,boip_ind_TM_app
6093,2546425,02-02-2017,370378,+,2,2,1,19,19,1
6094,3113399,30-04-2021,294199,+,1,1,,,,1
6095,3126862,25-08-2021,92043,-,2,2,1,,,1
6096,3109259,21-12-2020,150744,-,2,2,1,,,1
6097,2809849,13-03-2018,466810,-,Err,Err,Err,Err,Err,Err
6098,3139767,15-02-2022,851034,+,2,2,1,,,1
6099,3128683,06-10-2021,30980,+,Err,Err,Err,Err,Err,Err
6100,2835588,16-03-2018,237694,-,Err,Err,Err,Err,Err,Err
6101,3132839,23-09-2021,834524,+,2,2,1,,,
6102,3066235,24-04-2020,528823,+ -,2,2,1,,,1
6103,3118896,24-08-2021,1161203,+ -,2,2,1,,,
6104,2564451,28-03-2017,95575,+,3,3,1,,,1
6105,2492638,02-01-2018,167825,+,Err,Err,Err,Err,Err,Err
6106,3013045,25-01-2019,440463,+ -,2,2,1,,,1
6107,2748021,16-02-2018,777090,-,Err,Err,Err,Err,Err,Err
6108,2428020,21-09-2017,259349,+ -,,,1,11,,
6109,2786831,31-10-2017,788592,+,Err,Err,Err,Err,Err,Err
6110,2874645,05-03-2018,823159,+,Err,Err,Err,Err,Err,Err
6111,2467895,21-06-2016,10040,+,Err,Err,Err,Err,Err,Err
6112,3058894,19-12-2019,131469,+ -,2,2,1,1,3,
6113,2227554,23-03-2016,194228,+ -,2,2,1,,,1
6114,2624941,26-04-2017,35956,-,Err,Err,Err,Err,Err,Err
6115,2982364,06-03-2019,168502,-,,,1,,,1
6116,3126299,12-07-2021,645072,+,2,2,1,3,3,
6117,3074064,27-11-2019,237853,+,2,2,3,,,
6118,3001248,17-01-2019,148992,-,2,2,1,,,1
6119,2928045,30-05-2018,258251,+,2,2,1,,,
6120,3133367,21-10-2021,7525,+ -,3,3,1,,,1
6121,3064995,23-09-2019,812228,+,2,2,1,,,
6122,3111719,23-09-2021,584090,-,Err,Err,Err,Err,Err,Err
6123,2750001,14-03-2017,,+,Err,Err,Err,Err,Err,Err
6124,2830159,18-12-2017,549690,-,Err,Err,Err,Err,Err,Err
6125,3130140,29-10-2021,2341,+,2,2,1,,,1
6126,2479411,03-05-2016,3138,-,Err,Err,Err,Err,Err,Err
6127,3035964,01-02-2019,22442,+ -,Err,Err,Err,Err,Err,Err
6128,1582074,31-03-2016,392465,-,,,1,Err,,1
6129,2559360,14-11-2016,709183,+ -,,,1,Err,,1
6130,3061620,29-08-2019,944711,-,,,1,Err,,1
6131,2655952,06-07-2017,15223,+ -,999,,1,,,1
6132,3070747,18-10-2019,341934,+,2,2,4,,,
6133,3073407,18-09-2020,814529,-,Err,Err,Err,Err,Err,Err
6134,3080594,13-02-2020,728937,+,,,1,,,1
6135,3039636,28-11-2018,809992,+,4,,1,31,,1
6136,3048497,19-03-2019,800871,-,2,2,1,13,13,
6137,3133620,26-11-2021,907849,-,1,1,3,,,
6138,3050121,25-02-2019,338483,+ -,,,1,,,
6139,2624156,21-03-2017,647694,+,2,2,1,,,
6140,2401787,11-05-2017,388743,+,Err,Err,Err,Err,Err,Err
6141,3139665,20-01-2022,144213,+,2,,1,,,
6142,2717604,21-12-2018,826,-,Err,Err,Err,Err,Err,Err
6143,3122453,22-02-2022,966194,+,2,2,1,,,1
6144,3097848,09-06-2021,167825,+,2,,1,,,
6145,3075503,17-12-2019,554104,+,2,2,1,,,1
6146,2171562,30-11-2016,367826,+,,,1,,,1
6147,3064786,24-10-2019,557747,+,,,1,,,1
6148,2512930,23-04-2018,877,+ -,Err,Err,Err,Err,Err,Err
6149,2859927,24-01-2018,80129,+,Err,Err,Err,Err,Err,Err
6150,3061940,27-06-2019,63774,+,,,1,,,1
6151,2630831,29-05-2017,708147,+ -,Err,Err,Err,Err,Err,Err
6152,2749011,29-06-2017,777301,-,2,2,1,,,
6153,2566936,15-03-2017,441271,+,1,1,,,,1
6154,2521782,26-04-2016,,+,Err,2,1,Err,,
6155,2911272,06-05-2019,353870,+,2,2,1,,,1
6156,2987678,22-02-2019,126780,+ -,Err,Err,Err,Err,Err,Err
6157,2915471,23-08-2019,505490,+,,,1,,,1
6158,2691544,21-03-2017,368298,+ -,Err,Err,Err,Err,Err,Err
6159,2780552,12-01-2018,422891,-,Err,Err,Err,Err,Err,Err
6160,2788852,25-04-2018,789433,-,Err,Err,Err,Err,Err,Err
6161,2855560,23-07-2018,809987,-,Err,Err,Err,Err,Err,Err
6162,2660259,30-05-2017,395909,-,Err,Err,Err,Err,Err,Err
6163,3014027,09-01-2020,1877,-,Err,Err,Err,Err,Err,Err
6164,3054399,30-07-2019,377659,+,2,2,1,,,
6165,3066454,14-05-2020,906781,-,2,2,1,,,
6166,2544974,18-07-2016,,+ -,Err,Err,Err,Err,Err,Err
6167,3131010,26-10-2021,670000,+ -,2,2,1,,,1
6168,3110876,25-11-2020,359239,-,,,1,,,1
6169,2565029,07-10-2016,240171,-,Err,Err,Err,Err,Err,Err
6170,2398470,05-05-2017,,+,Err,Err,Err,Err,Err,Err
6171,3021857,26-04-2019,43698,-,Err,Err,Err,Err,Err,Err
6172,3058288,16-07-2019,120504,-,Err,Err,Err,Err,Err,Err
6173,2541350,09-09-2016,703461,+,,,1,Err,,1
6174,2691429,19-10-2017,274740,+ -,Err,Err,Err,Err,Err,Err
6175,2470691,27-07-2017,814529,+,2,2,1,,,1
6176,2650144,22-09-2017,322695,+ -,Err,Err,Err,Err,Err,Err
6177,3121899,22-03-2021,563072,+ -,2,2,1,,,
6178,3047074,29-04-2019,515271,+,,,246,,,1
6179,3064292,11-07-2019,933591,+,217,4,2,,,
6180,3063097,08-11-2019,498849,+ -,,,1,,,1
6181,2685033,17-08-2017,9912,+,2,2,1,,,
6182,3060060,18-06-2019,105803,+,2,2,1,,,1
6183,em-wo-1254263,14-03-2017,,+,Err,Err,Err,Err,Err,Err
6184,2638263,15-09-2017,175185,+ -,Err,Err,Err,Err,Err,Err
6185,3136368,22-02-2022,823739,+,52,52,326,,,
6186,2740960,11-07-2018,191996,+ -,2,2,1,,,1
6187,3047404,26-02-2019,168421,+,,,1,,,
6188,3102646,10-11-2020,169558,+,,,1,Err,,
6189,3053844,27-03-2019,402910,+,2,2,1,11,11,1
6190,3096687,11-08-2020,779615,+,2,2,1,,,1
6191,2956491,19-12-2018,147232,-,,,,,,1
6192,3086094,28-04-2020,110919,+ -,2,2,1,,,1
6193,3063838,12-12-2019,577327,+,2,2,1,,,1
6194,2790569,27-03-2018,789183,+,Err,Err,Err,Err,Err,Err
6195,2735879,19-12-2017,741363,+ -,Err,Err,Err,Err,Err,Err
6196,2906645,30-04-2018,660528,+,Err,Err,Err,Err,Err,Err
6197,2865411,13-02-2018,10117,+,Err,Err,Err,Err,Err,Err
6198,3052643,13-11-2019,63890,+ -,Err,Err,Err,Err,Err,Err
6199,3052122,30-07-2020,925619,+,Err,Err,Err,Err,Err,Err
6200,3021253,13-06-2019,90301,+,2,3,1,,,
6201,3072218,04-09-2020,10944,+,,,1,,,
6202,2708975,10-04-2017,298276,+,2,,1,,,
6203,3137487,12-04-2022,384913,+ -,Err,Err,Err,Err,Err,Err
6204,2606005,15-12-2016,473820,+,,,1,Err,,1
6205,2500661,23-03-2016,41026,-,,,1,,,1
6206,2812157,03-08-2018,2549,+,2,3,1,,,
6207,3125848,22-12-2021,244130,+ -,2,2,1,,,1
6208,3078349,02-03-2020,754072,+ -,6,6,1,,,
6209,2602269,27-09-2016,4289,+,2,2,1,,,
6210,3071297,30-10-2019,142942,+,,,1,,,
6211,3107764,12-04-2021,1057368,+,,,1,Err,,1
6212,3071603,06-02-2020,32839,-,280,,1,,,1
6213,3050316,26-07-2019,628077,-,,,1,Err,,1
6214,2645417,15-12-2017,457200,+,Err,Err,Err,Err,Err,Err
6215,3110525,18-05-2021,814529,-,Err,Err,Err,Err,Err,Err
6216,3126649,23-11-2021,259705,+,934,,1,,,
6217,2347857,01-06-2018,631888,+,321,2,1,,37,1
6218,2901349,20-11-2018,704010,+,Err,Err,Err,Err,Err,Err
6219,3072559,11-05-2020,814529,+ -,Err,Err,Err,Err,Err,Err
6220,3097153,27-07-2021,687992,-,Err,Err,Err,Err,Err,Err
6221,3107809,23-04-2021,5805,+,2,3,1,,,
6222,3092968,18-06-2020,335900,+,2,2,1,,,1
6223,3074957,31-01-2020,755559,+,1,1,2,Err,Err,Err
6224,3130353,27-04-2022,467225,-,4,4,1,,,1
6225,2645029,23-01-2017,268456,+ -,2,2,1,,,1
6226,3040857,14-12-2018,212396,+,2,2,1,,,1
6227,3078182,16-12-2020,29279,+,Err,Err,Err,Err,Err,Err
6228,3015958,30-05-2019,195212,+,Err,Err,Err,Err,Err,Err
6229,3126502,21-12-2021,10040,-,2,,1,,,1
6230,3111558,23-03-2021,1145566,+,2,2,1,,,1
6231,2308115,22-06-2017,317270,+,Err,Err,Err,Err,Err,Err
6232,3055759,10-02-2021,934375,+,Err,Err,Err,Err,Err,Err
6233,2975855,22-02-2019,217671,+,1,1,,6,7,1
6234,2938184,17-04-2019,171173,+,5,,,41,,1
